open_time_utc,open,high,low,close,close_time_utc,volume
2026-08-24T00:00:00.000Z,21.09668125,21.28324756,20.49,21.13055495,2026-08-24T00:59:59.999Z,0.0
2026-08-24T01:00:00.000Z,21.13154702,21.13154702,20.2825088,20.2877579,2026-08-24T01:59:59.999Z,0.0
2026-08-24T02:00:00.000Z,20.29,20.63,20.08945598,20.33085586,2026-08-24T02:59:59.999Z,0.0
2026-08-24T03:00:00.000Z,20.33379547,20.33804428,19.53443546,19.61970638,2026-08-24T03:59:59.999Z,0.0
2026-08-24T04:00:00.000Z,19.62,20.08310166,19.53,19.96691039,2026-08-24T04:59:59.999Z,0.0
2026-08-24T05:00:00.000Z,19.96479321,20.2854292,19.75,19.90414375,2026-08-24T05:59:59.999Z,0.0
2026-08-24T06:00:00.000Z,19.90535006,20.10740916,19.76,19.96291742,2026-08-24T06:59:59.999Z,0.0
2026-08-24T07:00:00.000Z,19.96021738,20.06,19.8,19.81,2026-08-24T07:59:59.999Z,0.0
2026-08-24T08:00:00.000Z,19.81,19.98,19.57531789,19.87822356,2026-08-24T08:59:59.999Z,0.0
2026-08-24T09:00:00.000Z,19.87618459,20.03028034,19.81,19.98427244,2026-08-24T09:59:59.999Z,0.0
2026-08-24T10:00:00.000Z,19.98404657,20.07737387,19.69205718,19.7,2026-08-24T10:59:59.999Z,0.0
