month,captured_announcements,cash_dividend_count,non_cash_dividend_count,sh_sz_ordinary_cash_count,sh_sz_ordinary_complete_count,sh_sz_parse_complete,raw_records_sha256,normalized_sha256
2025-01,129,129,0,122,122,true,44e814469872e5c82116297d5605b7ba4caccebeefbf411a40179107766d9932,938cfb2e433180c762b39d7ad11284b4ed30a41a908da1c4243f4192e939a7a7
2025-02,21,20,1,19,19,true,4fb289485e2b3016ab982a193ecb3c0f7b59b61473c413b34daa877f993f8d8d,e49a35dc07dd4888710d3dbf47b244dc893263f9b1ab1df9713a755a2fc3fa8b
2025-03,19,18,1,18,18,true,dd1de196b64c90f84717a6f5b0e8971f8177fa002b913da5a616d687a5c9dda9,660648d849cd360ea1330bca72cb72a0a185570ffe1588ed6a7d35f745bd69d2
2025-04,160,160,0,150,150,true,6cddb18fccdebeadde7cf590cf95141fbec1548378d078b984af23afa95ec7a6,9bc151084c424e3dd64b16d3b3864398cd6e7ce17d5b5b764a726f48a3746d88
