TradingDay,Symbol,Close,CircMV,adv20,weight
2025-12-31,000426,35.6,63197314518.593994,2309154139.3,0.017857142857142856
2025-12-31,000596,132.6,54180360000.0,382530620.85,0.017857142857142856
2025-12-31,000786,24.97,42187010814.981834,274290848.75,0.017857142857142856
2025-12-31,000988,79.33,79725512170.0,4132108844.7,0.017857142857142856
2025-12-31,002028,154.59,94217811318.69,1086942302.65,0.017857142857142856
2025-12-31,002142,28.09,185390836111.0596,582483138.9,0.017857142857142856
2025-12-31,002179,35.44,73740085082.49971,1128844622.0,0.017857142857142856
2025-12-31,002236,18.94,40076321227.0,490729379.15,0.017857142857142856
2025-12-31,002311,55.38,92070429760.23839,382776082.75,0.017857142857142856
2025-12-31,002352,38.32,182863755587.56018,760832359.7,0.017857142857142856
2025-12-31,002353,70.83,49102464728.408806,1799155279.05,0.017857142857142856
2025-12-31,002429,7.42,33570550993.579502,686446709.75,0.017857142857142856
2025-12-31,002472,47.41,35804126536.04169,946489771.35,0.017857142857142856
2025-12-31,002920,120.3,66735838898.47879,1314501826.2,0.017857142857142856
2025-12-31,300207,26.15,44816842910.79809,1501367770.5,0.017857142857142856
2025-12-31,300274,171.04,271903904156.54926,10699409247.9,0.017857142857142856
2025-12-31,300308,610.0,674355294020.0,17439723068.0,0.017857142857142856
2025-12-31,300408,45.75,85543716777.98723,960714567.1,0.017857142857142856
2025-12-31,300433,30.27,150498536501.83917,2467149102.8,0.017857142857142856
2025-12-31,300502,430.88,381509395596.16,16604474389.65,0.017857142857142856
2025-12-31,600021,20.02,56480132608.8008,1520940703.75,0.017857142857142856
2025-12-31,600025,9.08,163440000000.0,181615879.35,0.017857142857142856
2025-12-31,600031,21.13,179063861481.32794,1136451946.2,0.017857142857142856
2025-12-31,600061,7.65,48913971533.929504,240477227.55,0.017857142857142856
2025-12-31,600377,12.11,46044436142.05975,152039141.15,0.017857142857142856
2025-12-31,600415,15.95,87462769655.0819,768307050.15,0.017857142857142856
2025-12-31,600482,20.7,46648481728.99999,408085596.7,0.017857142857142856
2025-12-31,600487,24.73,60469329221.75552,2585281326.4,0.017857142857142856
2025-12-31,600522,18.12,61842647694.07966,2058220826.15,0.017857142857142856
2025-12-31,600547,38.71,139915101962.40018,1460878094.8,0.017857142857142856
2025-12-31,600642,7.78,38073866353.75959,176239294.65,0.017857142857142856
2025-12-31,600660,64.77,129733424723.64,630991315.9,0.017857142857142856
2025-12-31,600690,26.09,163141511243.04898,797311716.15,0.017857142857142856
2025-12-31,600803,20.76,63769046436.99999,181680447.5,0.017857142857142856
2025-12-31,600885,30.4,47046867115.14043,434862033.6,0.017857142857142856
2025-12-31,600887,28.6,180006390020.11154,990302309.0,0.017857142857142856
2025-12-31,600989,19.63,143953856800.0,512453915.05,0.017857142857142856
2025-12-31,600999,16.64,123502167725.68144,603571359.45,0.017857142857142856
2025-12-31,601058,16.18,53201462190.25563,503267760.5,0.017857142857142856
2025-12-31,601117,7.53,45843147236.0,301295831.45,0.017857142857142856
2025-12-31,601138,62.05,1232200303611.4075,11342042472.7,0.017857142857142856
2025-12-31,601212,5.85,43317930888.90756,1363076684.75,0.017857142857142856
2025-12-31,601577,9.7,39000631162.99794,152081109.75,0.017857142857142856
2025-12-31,601600,12.22,160978522389.32443,3164997652.55,0.017857142857142856
2025-12-31,601717,24.55,37860168671.69751,397242623.9,0.017857142857142856
2025-12-31,601799,123.37,35244269921.94054,244206498.95,0.017857142857142856
2025-12-31,601857,10.41,1685608830085.8877,1085308999.25,0.017857142857142856
2025-12-31,601877,27.89,59934744740.9968,554222441.55,0.017857142857142856
2025-12-31,603129,278.68,42520343125.0,328341409.8,0.017857142857142856
2025-12-31,603259,90.64,224178121497.04547,3070580909.55,0.017857142857142856
2025-12-31,603369,34.78,43363705286.9694,176914745.85,0.017857142857142856
2025-12-31,603699,51.97,39400677574.27888,257970763.2,0.017857142857142856
2025-12-31,603979,76.15,47500853625.00065,601288275.65,0.017857142857142856
2025-12-31,603993,20.0,349216843520.0,4140243412.1,0.017857142857142856
2025-12-31,688111,307.07,142228465501.08707,1240705541.9,0.017857142857142856
2025-12-31,688187,51.29,44566266290.56221,181309011.8,0.017857142857142856
