announcement_id,security_code,security_name,publish_date,fiscal_year,fiscal_period_type,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1213835832,001965,招商公路,2022-06-28,2021,ANNUAL,2022-07-04,2022-07-05,2022-07-05,0.346,2021年度权益分派实施公告,pdf/1213835832.pdf,483fee441cc78857977d2e10e5117e46629acfb23a23da44f559d176d5be49d2,false,COMPLETE
1213836248,603815,交建股份,2022-06-28,2021,ANNUAL,2022-07-04,2022-07-05,2022-07-05,0.1,安徽省交通建设股份有限公司2021年年度权益分派实施公告,pdf/1213836248.pdf,4943d455e95c58c409723e014942589bc94e438b77ed810adaf364d9a9890d3c,false,COMPLETE
1213836249,603937,丽岛新材,2022-06-28,2021,ANNUAL,2022-07-04,2022-07-05,2022-07-05,0.2,丽岛新材：2021年年度权益分派实施公告,pdf/1213836249.pdf,c5213091a2c43f6dc195257285eb777065f944bbc0859345efb602ac47f0f9a7,false,COMPLETE
1213836282,300809,华辰装备,2022-06-28,2021,ANNUAL,2022-07-04,2022-07-05,2022-07-05,0.2,华辰精密装备（昆山）股份有限公司2021年年度权益分派实施公告,pdf/1213836282.pdf,cf0e047946b2add647a36ba0723d15a19961653c60e22842646352744bddcd35,false,COMPLETE
1213836351,601588,北辰实业,2022-06-28,2021,ANNUAL,2022-07-01,2022-07-04,2022-07-04,0.01,北辰实业2021年年度权益分派实施公告,pdf/1213836351.pdf,93eb7053a4b485c48e24bbaf7150b6255f52ba24132cb253f2eb9adf97032a72,false,COMPLETE
1213836352,603856,东宏股份,2022-06-28,2021,ANNUAL,2022-07-04,2022-07-05,2022-07-05,0.155,东宏股份2021年年度权益分派实施公告,pdf/1213836352.pdf,92ab71b922d2a42b8ce1b06b6a83fb36a59b98e1e9a1eb573eeb32017d9a4525,false,COMPLETE
1213836565,300610,晨化股份,2022-06-28,2021,ANNUAL,2022-07-05,2022-07-06,2022-07-06,0.35,2021年年度权益分派实施公告,pdf/1213836565.pdf,bd1ebe8b4562ec8cfe04cfa86daa0b9411aa1e1944dc52d828aa32f785218ee5,false,COMPLETE
1213837398,002078,太阳纸业,2022-06-28,2021,ANNUAL,2022-07-05,2022-07-06,2022-07-06,0.2,2021年年度权益分派实施公告,pdf/1213837398.pdf,55b48701d0fc1a374204df35d689fb691e9b75b303b3c23a82cd0458448caf14,false,COMPLETE
1213837668,301029,怡合达,2022-06-28,2021,ANNUAL,2022-07-04,2022-07-05,2022-07-05,0.3,2021年年度权益分派实施公告,pdf/1213837668.pdf,6fe82f616121639504a0f71ed614cecf602f08260781cbf05d8c09787ac920a1,false,COMPLETE
1213852787,301151,冠龙节能,2022-06-28,2021,ANNUAL,2022-07-05,2022-07-06,2022-07-06,0.38,2021年年度权益分派实施公告,pdf/1213852787.pdf,bcd8cdfa576757a7033364cf16282826ec3534478887587c8dcf868fc368da88,false,COMPLETE
