announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1223711905,603876,鼎胜新材,2025-05-29,2025-06-04,2025-06-05,2025-06-05,0.06,江苏鼎胜新能源材料股份有限公司2024年年度权益分派实施公告,pdf/1223711905.pdf,d3dd04706b81d2176285b314ac2df29b407f46aaebd3d8b3f56e0093c4acedb9,false,COMPLETE
1223711945,002378,章源钨业,2025-05-29,2025-06-05,2025-06-06,2025-06-06,0.072,2024年年度权益分派实施公告,pdf/1223711945.pdf,b0dafee6ad33e0b044feae692237036ce60daa38ac40ec64da831f2b9be208e1,false,COMPLETE
1223711946,002792,通宇通讯,2025-05-29,2025-06-05,2025-06-06,2025-06-06,0.025,2024年度权益分派实施公告,pdf/1223711946.pdf,a2c967d4eb8e4a4ca0ece0275f4d41a696b12aea45f878d0b479dedcfe54909d,false,COMPLETE
1223711993,001287,中电港,2025-05-29,2025-06-06,2025-06-09,2025-06-09,0.11200000000000002,2024年度权益分派实施公告,pdf/1223711993.pdf,f837c09c4ce37b670dbe0de33261c213351b6b1cad32204da810f2e8a429e379,false,COMPLETE
1223712184,603288,海天味业,2025-05-29,2025-06-04,2025-06-05,2025-06-05,0.86,海天味业2024年年度权益分派实施公告,pdf/1223712184.pdf,cb3b6ec8c19bd712053e4a12c17f23cb402cee7647bc5c879988020d14f13cf6,false,COMPLETE
1223712200,688318,财富趋势,2025-05-29,2025-06-05,2025-06-06,2025-06-06,0.5,2024年年度权益分派实施公告,pdf/1223712200.pdf,351a80686d4447830314b7d4c5b91393f6ec91e6a833de7cfb6c5e068a8e7eaf,false,COMPLETE
1223712206,688636,智明达,2025-05-29,2025-06-04,2025-06-05,2025-06-05,0.142,成都智明达2024年年度权益分派实施公告,pdf/1223712206.pdf,26af2da5a1dd32a5abf243bf666e00c17efb0d9b49ab9f31ef33e840910a17ed,false,COMPLETE
1223712210,688786,悦安新材,2025-05-29,2025-06-05,2025-06-06,2025-06-06,0.25,悦安新材2024年年度权益分派实施公告,pdf/1223712210.pdf,5754bc97f9d3ba4bd6bdb01ef414f46fb764aeb485a4609490bbfff0b97aabe5,false,COMPLETE
1223712317,002688,金河生物,2025-05-29,2025-06-05,2025-06-06,2025-06-06,0.1,2024年年度权益分派实施公告,pdf/1223712317.pdf,554532daed3741dee692337a824ca8d049dd3974a595cf2ef82d5967e546939f,false,COMPLETE
1223712397,688036,传音控股,2025-05-29,2025-06-04,2025-06-05,2025-06-05,1.5,传音控股2024年年度权益分派实施公告,pdf/1223712397.pdf,22b789eb9c4054065952cdd98e12fdb7d14df670cc24911a0ec538ed992626e4,false,COMPLETE
1223712403,688507,索辰科技,2025-05-29,2025-06-04,2025-06-05,2025-06-05,0.183,2024年年度权益分派实施公告,pdf/1223712403.pdf,a8edb7f23d01ab6c7b4999d8b55db7eba7913b8e82150282162e5aaaf8fdc7a0,false,COMPLETE
1223712405,688517,金冠电气,2025-05-29,2025-06-04,2025-06-05,2025-06-05,0.55,2024年年度权益分派实施公告,pdf/1223712405.pdf,367a4f356d707d23cbc2b9a31f6a4efa4e1a9bdc430bea9012bc96cb86d0cd67,false,COMPLETE
1223712436,002061,浙江交科,2025-05-29,2025-06-04,2025-06-05,2025-06-05,0.125,2024年度权益分派实施公告,pdf/1223712436.pdf,a35a88fa0882d64b7db033c3d6a9cbdcaa1c6bab33a3cd7cd4eb4e57ab371e85,false,COMPLETE
1223712438,300652,雷迪克,2025-05-29,2025-06-04,2025-06-05,2025-06-05,0.15,2024年年度权益分派实施公告,pdf/1223712438.pdf,de671c2294abd3e120d50ffa375182b72274ac5349f569fdedc20393e15cafec,false,COMPLETE
1223712441,002483,润邦股份,2025-05-29,2025-06-05,2025-06-06,2025-06-06,0.3,2024年年度权益分派实施公告,pdf/1223712441.pdf,b77d782d90f28736eed1f9f2fd8290ee51d6441e9879b8ffb64a260bb3fbf800,false,COMPLETE
1223712528,003010,若羽臣,2025-05-29,2025-06-06,2025-06-09,2025-06-09,0.5,2024年年度权益分派实施公告,pdf/1223712528.pdf,003cab74c7318da55d0191336cc0fdecc7465252599813b2111e899b84baa018,false,COMPLETE
1223712531,002403,爱仕达,2025-05-29,2025-06-04,2025-06-05,2025-06-05,0.018,2024年年度权益分派实施公告,pdf/1223712531.pdf,f8d186cbffa385dab2cbe100d416ec7858ff63547c3e45befe80da550ad6fbe1,false,COMPLETE
1223712587,603237,五芳斋,2025-05-29,2025-06-05,2025-06-06,2025-06-06,0.5,浙江五芳斋实业股份有限公司2024年年度权益分派实施公告,pdf/1223712587.pdf,f43eaf096c18e04c933e118a1e11d7ac6e90384eddc5bd1d60e0bdf75818c401,false,COMPLETE
1223712704,300213,佳讯飞鸿,2025-05-29,2025-06-05,2025-06-06,2025-06-06,0.05,2024年年度权益分派实施公告,pdf/1223712704.pdf,5a8a7a976aaf92e7c92ccf3c7949362e2b2ca871ca80d4674e6d3fe07bc046c2,false,COMPLETE
