signal_date,symbol,quarter,signal_value,revision,revision_to_price,current_eps,prior_eps,breadth,paired_count,current_count,prior_count,prior_return20,prior_active20,prior_runup_pct,active20,denominator_category,runup_category,small_positive_cutoff
2019-11-29,600132,2019Q4,0.2574257425742574,0.2574257425742574,,1.27,1.01,0.5882352941176471,17.0,19,19,0.1021064177352237,0.109376781528236,0.8979591836734694,0.0106429827951784,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.44
2020-01-23,300142,2020Q4,0.4634146341463414,0.4634146341463414,,0.6,0.41,0.0,5.0,8,5,-0.088206811440023,-0.1419722513357617,0.0415704387990762,0.0066155194644469,SMALL_POSITIVE_BASE_UPGRADE,NORMAL_PRIOR_RUNUP,0.562
2020-01-23,600216,2020Q4,0.4385964912280702,0.4385964912280702,,0.82,0.57,0.125,8.0,9,9,0.0310085107124507,-0.0227569291832879,0.5381062355658198,-0.0627333199164869,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.562
2020-01-23,002157,2020Q4,0.3282828282828283,0.3282828282828283,,3.945,2.97,0.3076923076923077,13.0,14,18,-0.087072128302796,-0.1408375681985347,0.0484988452655889,0.0897116992662073,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.562
2020-01-23,002399,2020Q4,0.2741935483870967,0.2741935483870967,,0.79,0.62,0.0,3.0,5,3,0.2031657590452387,0.1494003191495,0.8914549653579676,0.1344264136429912,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.562
2020-01-23,300433,2020Q4,0.256198347107438,0.256198347107438,,0.76,0.605,0.5,12.0,19,12,0.4573626355914741,0.4035971956957355,0.9884526558891455,-0.0340096253315763,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.562
2020-01-23,601168,2020Q4,0.2537313432835821,0.2537313432835821,,0.42,0.3349999999999999,0.0,4.0,7,4,0.1247818431031302,0.0710164032073915,0.7528868360277137,-0.0873882674723866,SMALL_POSITIVE_BASE_UPGRADE,NORMAL_PRIOR_RUNUP,0.562
2020-01-23,000625,2020Q4,0.2131147540983606,0.2131147540983606,,0.74,0.61,0.4074074074074074,27.0,29,27,0.0133332903091729,-0.0404321495865656,0.4711316397228637,0.0284112977560483,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.562
2020-01-23,300498,2020Q4,0.2091503267973855,0.2091503267973855,,5.55,4.59,0.3333333333333333,27.0,29,33,0.0009154483783151,-0.0528499915174235,0.4295612009237875,-0.018330195307315,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.562
2020-01-23,000876,2020Q4,0.1948051948051947,0.1948051948051947,,2.3,1.925,0.25,12.0,13,16,-0.0247300356205084,-0.0784954755162471,0.2956120092378753,0.3835836855740874,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.562
2020-01-23,002714,2020Q4,0.1724137931034484,0.1724137931034484,,13.09,11.165,0.0,22.0,25,24,0.0447681030945574,-0.0089973368011811,0.5912240184757506,0.4410182161813584,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.562
