sample,arm,signal_date,entry_date,signals,complete,eligible_peers,priced_peers,etf_code,mean_return_20d,median_return_20d,win_rate,holdout_2025_count,holdout_2025_mean_return_20d
bounded_smoke,unreported_peer_stock,2024-08-01,2024-08-02,1,1,7,2,,-0.03302163259218811,-0.03302163259218811,0.0,0,
bounded_smoke,direct_industry_etf,2024-08-01,2024-08-02,1,1,,,159662.SZ,-0.05836590198123038,-0.05836590198123038,0.0,0,
