announcement_id,security_code,security_name,publish_date,fiscal_year,fiscal_period_type,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1214739738,301208,中亦科技,2022-10-11,2022,INTERIM,2022-10-18,2022-10-19,2022-10-19,0.36,2022年半年度权益分派实施公告,pdf/1214739738.pdf,3f65d644002997ccef4718cc4373c96f4b1dc29c661dccc95d24acf75505672e,false,COMPLETE
1214740046,603897,长城科技,2022-10-11,2022,INTERIM,2022-10-17,2022-10-18,2022-10-18,0.2,浙江长城电工科技股份有限公司2022年半年度权益分派实施公告,pdf/1214740046.pdf,5323ed7d6ffbb420241666e36442bfba7c8b7bf526fb1174e4af0e8e16319dec,false,COMPLETE
1214748790,301259,艾布鲁,2022-10-11,2022,INTERIM,2022-10-17,2022-10-18,2022-10-18,0.3,2022年半年度权益分派实施公告,pdf/1214748790.pdf,e4895e6c261adcfd4c9f46f814ab3b7312e224cf0c93cfb9b5ab5e4f41a5a3c0,false,COMPLETE
1214747959,688091,上海谊众,2022-10-12,2022,INTERIM,,,,,上海谊众药业股份有限公司2022年半年度权益分派实施公告,pdf/1214747959.pdf,27097c4348e08d96ed9de60e23a238b094d00f7e3c0ab3874f1d04bf22b289f9,false,NO_CASH_DIVIDEND
1214748709,001226,拓山重工,2022-10-12,2022,INTERIM,2022-10-17,2022-10-18,2022-10-18,0.536,2022年上半年权益分派实施公告,pdf/1214748709.pdf,3372955d0b6fc542e350fb705a4e0ba2d01edd4ce79514fe9ee64d01e729553b,false,COMPLETE
1214756557,833943,优机股份,2022-10-12,2022,INTERIM,2022-10-18,2022-10-19,2022-10-19,0.2,2022年半年度权益分派实施公告,pdf/1214756557.pdf,aeacf1e151aefed7d08ddf670ab70371b01f11b059537a2664988047502549f2,false,COMPLETE
1214757708,000928,中钢国际,2022-10-13,2022,INTERIM,2022-10-18,2022-10-19,2022-10-19,0.10200000000000001,2022年半年度权益分派实施公告,pdf/1214757708.pdf,6276f87b38a8a2bad805dcb79044586cbd3582560c258a4dc16ff310e5c812de,false,COMPLETE
1214772108,301268,铭利达,2022-10-14,2022,INTERIM,2022-10-19,2022-10-20,2022-10-20,0.1,2022年半年度权益分派实施公告,pdf/1214772108.pdf,139f51010839a484dddacd3fcb18bbf73b6e84ad8a3e568f08de6c34bf4885b0,false,COMPLETE
1214815657,688566,吉贝尔,2022-10-18,2022,INTERIM,2022-10-24,2022-10-25,2022-10-25,0.24,吉贝尔2022年半年度权益分派实施公告,pdf/1214815657.pdf,8020103bab08b429eb6fcae96d7eef36e4fb30abb2371f17c7201c07985764e8,false,COMPLETE
1214816235,603607,京华激光,2022-10-18,2022,INTERIM,2022-10-24,2022-10-25,2022-10-25,0.25,京华激光2022年半年度权益分派实施公告,pdf/1214816235.pdf,7b5ebe93168e9d504ebe5f59daa9d0aca08ca307e9ff0dc427703690996db2ad,false,COMPLETE
1214825586,688375,国博电子,2022-10-19,2022,INTERIM,2022-10-25,2022-10-26,2022-10-26,0.5,南京国博电子股份有限公司2022年半年度权益分派实施公告,pdf/1214825586.pdf,b8de03e442e982f6458a6c487ccff8056ae16c524092a1b1ad8ef032c8e48a7f,false,COMPLETE
1214841442,600714,金瑞矿业,2022-10-20,2022,INTERIM,2022-10-25,2022-10-26,2022-10-26,0.1,青海金瑞矿业发展股份有限公司2022年半年度权益分派实施公告,pdf/1214841442.pdf,e4ed0609ba8dcfe43f205459ee4e7d6c3b6320b9b04e6b6f7c1f06a3c6474a39,false,COMPLETE
1214842639,688332,中科蓝讯,2022-10-20,2022,INTERIM,2022-10-25,2022-10-26,2022-10-26,0.55,2022年半年度权益分派实施公告,pdf/1214842639.pdf,b8a3de2086f50773e15323a322478a4589564ac2843b1d6b91055e628bfebb3f,false,COMPLETE
1214843204,000591,太阳能,2022-10-20,2022,INTERIM,2022-10-25,2022-10-26,2022-10-26,0.10900000000000001,2022年半年度权益分派实施公告,pdf/1214843204.pdf,32fc972d3850e06405e2e7eb2a6fc2593fb5542beb18fc5ed1ecfb15840bfa25,false,COMPLETE
1214854036,002873,新天药业,2022-10-21,2022,INTERIM,2022-10-27,2022-10-28,,,2022年半年度权益分派实施公告,pdf/1214854036.pdf,d1e1c305b79b7a0991610ea06a5069c8578e7f01a7c76b19dc9881a4ddcdadd8,false,NO_CASH_DIVIDEND
1214863485,601878,浙商证券,2022-10-22,2022,INTERIM,2022-10-28,2022-10-31,2022-10-31,0.17,浙商证券股份有限公司2022年半年度权益分派实施公告,pdf/1214863485.pdf,dba7e18c8781cd7123076192a3b4f27f4fb2a75e8b1209d7db0ef0d436465275,false,COMPLETE
1214870611,600867,通化东宝,2022-10-24,2022,INTERIM,2022-10-27,2022-10-28,2022-10-28,0.25,通化东宝2022年半年度权益分派实施公告,pdf/1214870611.pdf,f014dc0ba97c0ed13914d1e8830a69828beb3e5cce9bf923cd16b1a8b9237250,false,COMPLETE
1214881737,603619,中曼石油,2022-10-25,2022,INTERIM,2022-10-28,2022-10-31,2022-10-31,0.1,中曼石油2022年半年度权益分派实施公告,pdf/1214881737.pdf,b85ff8993853f70c7225594a57b5365276184f35fa26fa204710345244ac33ec,false,COMPLETE
1214883305,603277,银都股份,2022-10-25,2022,INTERIM,2022-10-31,2022-11-01,2022-11-01,0.3,银都餐饮设备股份有限公司2022年半年度权益分派实施公告,pdf/1214883305.pdf,c123553f0237119b6643f3fe5136345f4abc00e0b9c1e81c35efa14d6e19ee58,false,COMPLETE
1214965425,301236,软通动力,2022-10-31,2022,INTERIM,2022-11-03,2022-11-04,2022-11-04,0.5,2022年半年度权益分派实施公告,pdf/1214965425.pdf,05ed278d04c6bc37941ffb1640e56e55f5e866d06d736c14d20ff7bba6b73f0f,false,COMPLETE
