announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,status
1223718020,002830,名雕股份,2025-05-30,2025-06-05,2025-06-06,2025-06-06,0.25,2024年年度权益分派实施公告,pdf/1223718020.pdf,c39070a9683b57e6a17b663665d2c5c4e044440e28b65ba2a35339ad7860c39d,COMPLETE
1223718083,601566,九牧王,2025-05-30,2025-06-06,2025-06-09,2025-06-09,0.3,九牧王2024年年度权益分派实施公告,pdf/1223718083.pdf,75e23859eb58e81c39dcad38a87ed3af386b7097e64c8cb9d6a7e7d9b79a4b5f,COMPLETE
1223718269,600805,悦达投资,2025-05-30,2025-06-05,2025-06-06,2025-06-06,0.05,悦达投资2024年年度权益分派实施公告,pdf/1223718269.pdf,5f825e67c1c6bb2bc764c27629996eb522a01d69741a1965d32d472df7732a12,COMPLETE
1223718270,600887,伊利股份,2025-05-30,2025-06-05,2025-06-06,2025-06-06,1.22,内蒙古伊利实业集团股份有限公司2024年年度权益分派实施公告,pdf/1223718270.pdf,94999a4f3f922ab372895488f872b8be864e1f3d5f8c9c78e34d3c3dc6ae0b3f,COMPLETE
1223718284,688334,西高院,2025-05-30,2025-06-05,2025-06-06,2025-06-06,0.14,2024年年度权益分派实施公告,pdf/1223718284.pdf,5c664c83a286c7302b8989bccbe332f7239ef24c053d6fc2161ec561081ecc21,COMPLETE
1223718423,603369,今世缘,2025-05-30,2025-06-05,2025-06-06,2025-06-06,1.2,江苏今世缘酒业股份有限公司2024年度权益分派实施公告,pdf/1223718423.pdf,2dec8fa3b884956a6c676fbc5f1c69ce3e6fe979e81f5e627b20969b8552b1f9,COMPLETE
1223718553,002624,完美世界,2025-05-30,2025-06-06,2025-06-09,2025-06-09,0.22999999999999998,2024年年度权益分派实施公告,pdf/1223718553.pdf,1b85c1e1f44aa0eb69f418e9f4ed56a36ba27a3b1e52fbffa912fb7a74925ebd,COMPLETE
1223718559,600507,方大特钢,2025-05-30,2025-06-05,2025-06-06,2025-06-06,0.033,方大特钢2024年年度权益分派实施公告,pdf/1223718559.pdf,67bda834556eec55ff5b3514e4e19f712ee86369305402f5c6f50833dcf14012,COMPLETE
1223718574,603329,上海雅仕,2025-05-30,2025-06-05,2025-06-06,2025-06-06,0.03,2024年年度权益分派实施公告,pdf/1223718574.pdf,07b02ef92c9af55569ae2f1381f08c8b32eb52db665fb26ca08f9e13a080b5e7,COMPLETE
1223718589,688695,中创股份,2025-05-30,2025-06-05,2025-06-06,2025-06-06,0.14,山东中创软件商用中间件股份有限公司2024年年度权益分派实施公告,pdf/1223718589.pdf,5ca7af229a5985bae2a13a01800645fc9f8a9dddbd9fea8c252338b3de73f4a9,COMPLETE
1223718714,600530,交大昂立,2025-05-30,2025-06-06,2025-06-09,2025-06-09,0.0118,2024年年度权益分派实施公告,pdf/1223718714.pdf,88b9032ee46ecf854e7990268cffd444d72e7df3808aee7d5c85532b10ed82f5,COMPLETE
1223718729,688112,鼎阳科技,2025-05-30,2025-06-05,2025-06-06,2025-06-06,0.51,鼎阳科技2024年年度权益分派实施公告,pdf/1223718729.pdf,eb4153078bba08c9dd1c79572ef4fa60697804f388bf7cc287cd547aa9f25f41,COMPLETE
1223718730,688115,思林杰,2025-05-30,2025-06-06,2025-06-09,2025-06-09,0.22,2024年年度权益分派实施公告,pdf/1223718730.pdf,85fe7da12cc14bf2504825d981b6dbdf4d5a18aeee23f81a181ebd4883d93ed3,COMPLETE
