period,captured_announcements,cash_dividend_count,excluded_non_cash_or_correction_count,sh_sz_ordinary_cash_count,sh_sz_ordinary_complete_count,sh_sz_parse_complete,override_count,raw_records_sha256,normalized_sha256
2024-01,9,9,0,8,8,true,0,d66dc99b8e66c49297f4fd2fd2cd58210ae6ea04b57b8f113e2bd00da689b42b,7fce2761ccb27ce6879dcfa36504926e4bd74288f0d8c68d651edd24e4d1c734
2024-02,4,4,0,4,4,true,0,4857533f51b559e6b7b466976e7c3d191e79b31080199addc3baef9e269db56c,b2f723b73f556b9186a34442e88ca9e3046b8a2fa6c1a5d842003b7eeaa253e1
2024-03,8,8,0,7,7,true,0,02ff907b80206605e10fb79312fe0ad8f3dddfe3a8a209d9c3aaa8fdb690b874,6b19bf19f1db6e4266d2e0e9ce1c55c829cfa17ee29c76fda443b14adaf29f62
2024-04,171,171,0,152,152,true,0,32077d4f211d6dff350dd2728656736c94c8e2305524a32d57fab9c502f30e43,2a39427cbebe8cb9886fd5748e7ae5d9accfeb28b21800f59953549728c65dbd
2024-05,1345,1340,5,1239,1239,true,0,10ade510acf7984d2ac7b1e9ba6fc14fe449a173cf8201131046f242e5d7c507,5c63c215cdf535396ac24dfcb8c8a2052452ce89b20a00fb3af3cdfa02a63fdd
2024-06,1379,1370,9,1291,1291,true,0,9dbfef2f94c41c06278341b8bfbe38b359a96a25ae32d73d2bd11169c8b2ab35,4e6346fa0433893e3c788a820d085b3c64bae9e8c1ecad7514966bfca9b15789
2024-07,610,605,5,581,581,true,0,98e7d95465c69babc13c8519aca979e11bc81b85b7a847fd3cf6527625b90e0d,b1243e45390b4314e6c225982c17f161edda406d31fee145f381023f403965bd
2024-08,157,157,0,157,157,true,0,2e142d5a39a78d188fbd6ca97bb5d72ffccbf9619ce7bbf0a4e257c31c183876,c57f0c910ff9238a7cb1cbf26fc478b9d7681876cae5e30bea28600079214f3c
2024-09,293,293,0,278,278,true,0,d5b753292a8222eb00f4c4599051aecb39fef01f10ab1fe7444e859dad83ee03,4841d70584b6c8aa9a52a1bba933b772d3822a4e786c95dc1723c4ce993d9e4b
2024-10,225,225,0,221,221,true,0,f27fbd53693510f55d2963190e620c9f2ee9d64b6a0b083a5f265522a4d48776,4f725f12f380957e76142043e12dd8bcc84c39ac9f719b5975dca4f541adaafb
2024-11,149,148,1,140,140,true,0,535e334054c77e3101c54c7f5638b27726ec7109f2e1feec6f2977d50c0029e5,99deab80c5f135c51374149ddf7cbc71b20307a578cc3511099179d87e1b1522
2024-12,124,122,2,118,118,true,0,965c6c6787e392f5669b2fec2ee2f7a4e5a6e4748b21517310beecc2a964c2fa,bd1b7f7347a485dea14385093648b3148027ef78fd1d0cc770406087dbd8a140
