announcement_id,security_code,security_name,publish_date,fiscal_year,fiscal_period_type,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1220494623,002526,山东矿机,2024-07-01,2023,ANNUAL,2024-07-05,2024-07-08,2024-07-08,0.023,山东矿机2023年度权益分派实施公告,pdf/1220494623.pdf,25ec3e10f7dd8913b4a1e04b526be2c9de62261b9ba084d67b21e4de0162407d,false,COMPLETE
1220496791,000753,漳州发展,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.025,2023年年度权益分派实施公告,pdf/1220496791.pdf,5b8228068b50109e9648e85001aeba4045256e7f889fc5e0e15eae3f13f50128,false,COMPLETE
1220500388,000541,佛山照明,2024-07-01,2023,ANNUAL,2024-07-05,2024-07-08,2024-07-08,0.12,2023年年度权益分派实施公告,pdf/1220500388.pdf,55884af2f4aaf0fd17dcf745eef042c092dfd66c68df62b7ab7967f9f6d957ea,false,COMPLETE
1220502401,003001,中岩大地,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.12060459999999999,2023年年度权益分派实施公告,pdf/1220502401.pdf,f26708f94a0cf062d6918557018de5586479e30b049238722d96d0cfeb80605e,false,COMPLETE
1220502545,002958,青农商行,2024-07-01,2023,ANNUAL,2024-07-08,2024-07-09,2024-07-09,0.1,2023年年度权益分派实施公告,pdf/1220502545.pdf,4e66a30d48f41afca5a3784872f2f77adda302519d2f271a09e9a50e2425579d,false,COMPLETE
1220505695,600188,兖矿能源,2024-07-01,2023,ANNUAL,2024-07-05,2024-07-08,2024-07-08,1.49,兖矿能源集团股份有限公司2023年年度权益分派实施公告,pdf/1220505695.pdf,6bdfaa42a112ed7554effc8b1f40d139f32430b9a69fec7d6294441f2313f708,false,COMPLETE
1220505707,600325,华发股份,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.37,华发股份2023年年度权益分派实施公告,pdf/1220505707.pdf,e20992bdc239985d3705de0a3bd72c2ca2dab40a0a697772be8bb33c82a2c657,false,COMPLETE
1220505708,600419,天润乳业,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.136,新疆天润乳业股份有限公司2023年年度权益分派实施公告,pdf/1220505708.pdf,604356e26261ace3837a9ed996c4044ae821a498da7bffd3b0f9a5c6f92aab5a,false,COMPLETE
1220505721,600763,通策医疗,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.43565,通策医疗股份有限公司2023年年度权益分派实施公告,pdf/1220505721.pdf,d48bdde979d56fa83a370efc1e1dcd56b0003772352001e87601769b550eeff3,false,COMPLETE
1220505726,600874,创业环保,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.166,创业环保2023年年度权益分派实施公告,pdf/1220505726.pdf,d27361e8a66ef749d34e0550f104241c15070f0559ab0d662ed4cf2830819095,false,COMPLETE
1220505743,603018,华设集团,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.31,2023年年度权益分派实施公告,pdf/1220505743.pdf,bcc89bfa44d5178f240a6250de26362d285240eb05a3438763befd22300e7d0f,false,COMPLETE
1220505747,603180,金牌家居,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.6,金牌家居2023年年度权益分派实施公告,pdf/1220505747.pdf,4519014cb61ba733c5ed2ef688f405c63b3724ddc6439d9d5f9ef3c77896209c,false,COMPLETE
1220505764,603969,银龙股份,2024-07-01,2023,ANNUAL,2024-07-04,2024-07-05,2024-07-05,0.07,天津银龙预应力材料股份有限公司2023年年度权益分派实施公告,pdf/1220505764.pdf,5f9742118a534a7678771527b5b18b4ebb8cad7f82267cc8358db395c7f6825e,false,COMPLETE
