announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1224695651,601555,东吴证券,2025-10-01,2025-10-14,2025-10-15,2025-10-15,0.138,东吴证券股份有限公司2025年半年度权益分派实施公告,pdf/1224695651.pdf,47e898dfc5e21dd659be9ebcd74bafb100d445ac7d7b56f6ca9817b682b0cb27,false,COMPLETE
1224695524,002839,张家港行,2025-10-09,2025-10-14,2025-10-15,2025-10-15,0.1,江苏张家港农村商业银行股份有限公司2025年半年度权益分派实施公告,pdf/1224695524.pdf,97c869c831e1d1153ef6aae175b9d9632dda9e9ee5a1e19ad852524f91fb590b,false,COMPLETE
1224695675,002177,御银股份,2025-10-09,2025-10-15,2025-10-16,2025-10-16,0.002,2025年半年度权益分派实施公告,pdf/1224695675.pdf,064dd8abb0db40dfef78d0b2fcf5604337282ea733bf06248bd4b681c7e955d3,false,COMPLETE
1224697580,603871,嘉友国际,2025-10-09,2025-10-14,2025-10-15,2025-10-15,0.2,2025年半年度权益分派实施公告,pdf/1224697580.pdf,9ed8dbd2d2a578816a73568eac0edf4c1909ec9cab0d29562fae48cb9de2f4d1,false,COMPLETE
1224703269,920027,交大铁发,2025-10-09,2025-10-16,2025-10-17,2025-10-17,0.12,权益分派实施公告,pdf/1224703269.pdf,33dc6ea4d4361cc385bcac8aa600a802d84999cd3b173b801e56fde5bbff94db,false,COMPLETE
1224703149,301505,苏州规划,2025-10-09,2025-10-14,2025-10-15,2025-10-15,0.03,2025年半年度权益分派实施公告,pdf/1224703149.pdf,02e1658510971af03073b70d77506ced96301c9595dc196d45c5533674dd8628,false,COMPLETE
1224703421,301202,朗威股份,2025-10-09,2025-10-15,2025-10-16,2025-10-16,0.3,2025年半年度权益分派实施公告,pdf/1224703421.pdf,67bf02dcc28f54e4e8a7463b9f543ec535cf8ac5337fc0d20102f034856e2330,false,COMPLETE
1224701575,600803,新奥股份,2025-10-10,2025-10-15,2025-10-16,2025-10-16,0.18,新奥股份2025年半年度权益分派实施公告,pdf/1224701575.pdf,0259bf3e8cc2f787b06b66b5bda594962f4ffb8034e507e864788027ddca173f,false,COMPLETE
1224701631,600023,浙能电力,2025-10-10,2025-10-16,2025-10-17,2025-10-17,0.05,2025年半年度权益分派实施公告,pdf/1224701631.pdf,cec77ef0ce86c75780ab19157905a63a8468206489d0332dc10241404f9075a6,false,COMPLETE
1224701811,600535,天士力,2025-10-10,2025-10-16,2025-10-17,2025-10-17,0.21,天士力2025年半年度权益分派实施公告,pdf/1224701811.pdf,cc31b6e11b159523dce31076509010637d3ef76ba375cc84a420aa7da68dc8f8,false,COMPLETE
