announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1221083390,003008,开普检测,2024-09-02,2024-09-06,2024-09-09,2024-09-09,0.35,2024年半年度权益分派实施公告,pdf/1221083390.pdf,a609ce10d73d4b68adbb43b630e38cdaebed5ca5dbd8ec744318777ca5523db0,false,COMPLETE
1221106764,601010,文峰股份,2024-09-02,2024-09-05,2024-09-06,2024-09-06,0.039,文峰股份2024年半年度权益分派实施公告,pdf/1221106764.pdf,670fae635bc029905f8dc0fd3d68031aea4168c98c1d7df5e44be9eab4f43a1a,false,COMPLETE
1221111904,688307,中润光学,2024-09-03,2024-09-09,2024-09-10,2024-09-10,0.1,2024年半年度权益分派实施公告,pdf/1221111904.pdf,98f27468da73b3ecc59b555c87cdce6a285a3b27e8195732114c43d403f9599e,false,COMPLETE
1221112470,600633,浙数文化,2024-09-03,2024-09-09,2024-09-10,2024-09-10,0.09,浙数文化2024年半年度权益分派实施公告,pdf/1221112470.pdf,c56bf887c758d3f0a92af798f991108eaef52f8b54be13f0329b1cfdade55a2f,false,COMPLETE
1221112752,603520,司太立,2024-09-03,2024-09-06,2024-09-09,2024-09-09,0.05,司太立2024年半年度权益分派实施公告,pdf/1221112752.pdf,1f46996c489f41540c25ce45029e53ad62862fc6813006585b1bbf3bb6f87f23,false,COMPLETE
1221112922,603600,永艺股份,2024-09-03,2024-09-09,2024-09-10,2024-09-10,0.16,永艺家具股份有限公司2024年半年度权益分派实施公告,pdf/1221112922.pdf,983ec56eab9a0ab241cdd02b41910f7a022594d0b7a458d2079e3ef1d02eed29,false,COMPLETE
1221113141,600009,上海机场,2024-09-03,2024-09-06,2024-09-09,2024-09-09,0.10034,上海机场2024年半年度权益分派实施公告,pdf/1221113141.pdf,c63ba64f2ff1c18a08928d8a74b43c552fc0e17a25b9c7d78f44fbc9f47a9d06,false,COMPLETE
1221113317,600692,亚通股份,2024-09-03,2024-09-06,2024-09-09,2024-09-09,0.02,亚通股份2024年季度权益分派实施公告,pdf/1221113317.pdf,bafeb2aa8df5c816b9c62a71af5a5b9c39af0030e1bcc3e8e6f91fe71bada2e5,false,COMPLETE
1221113663,688076,诺泰生物,2024-09-03,2024-09-09,2024-09-10,2024-09-10,0.1,诺泰生物：2024年半年度权益分派实施公告,pdf/1221113663.pdf,a176560833944f77c8582695cfd2f4bdb5c8019f9bddbe765f75fb7b3d8eba40,false,COMPLETE
1221113931,000895,双汇发展,2024-09-03,2024-09-10,2024-09-11,2024-09-11,0.6599999999999999,2024年半年度权益分派实施公告,pdf/1221113931.pdf,433a64c1dc23ab79b7c8e79b29ed682b9a215ae0f71e520987ec8804f1456722,false,COMPLETE
