announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1221586765,601696,中银证券,2024-11-01,2024-11-07,2024-11-08,2024-11-08,0.017,2024年半年度权益分派实施公告,pdf/1221586765.pdf,198b195a3582a23f3138c0b03a918bb01519204619304362960d199c225a24ff,false,COMPLETE
1221586893,000726,鲁  泰Ａ,2024-11-01,2024-11-07,2024-11-08,2024-11-08,0.09,2024年半年度权益分派实施公告,pdf/1221586893.pdf,a8985f988156fc7480c64e6d2d4175ce46c1c99bac945f285f1587f8057cab87,false,COMPLETE
1221587043,688195,腾景科技,2024-11-01,2024-11-06,2024-11-07,2024-11-07,0.1,腾景科技2024年季度权益分派实施公告,pdf/1221587043.pdf,4c0074d4deb6adc9d400665f36d56a68753e0cb7313468eadd1d22159f5d4916,false,COMPLETE
1221587473,300430,诚益通,2024-11-01,2024-11-07,2024-11-08,2024-11-08,0.025,2024年半年度权益分派实施公告,pdf/1221587473.pdf,924e0be7c4a696698b73034a65ca72e28b06b67082d07a743e22a463d512a8c4,false,COMPLETE
1221588465,002338,奥普光电,2024-11-01,2024-11-06,2024-11-07,2024-11-07,0.01,2024年半年度权益分派实施公告,pdf/1221588465.pdf,c6a818d4d12f90cb0b42a96d637f56abce9a0782466039f209d4475fb707513f,false,COMPLETE
1221605078,834058,华洋赛车,2024-11-01,2024-11-08,2024-11-11,2024-11-11,0.3562263,2024年半年度权益分派实施公告,pdf/1221605078.pdf,7f7b6fc34039617791061ef4ab977b7360fb739042e6a111f5b630c321c55185,false,COMPLETE
1221601952,301261,恒工精密,2024-11-01,2024-11-07,2024-11-08,2024-11-08,0.25,2024年半年度权益分派实施公告,pdf/1221601952.pdf,d1d28d233011fcb90debf544ab246487e5d6c4bb9cf713c2e3d86c5d35b865bc,false,COMPLETE
1221603592,301393,昊帆生物,2024-11-01,2024-11-08,2024-11-11,2024-11-11,0.125,2024年中期权益分派实施公告,pdf/1221603592.pdf,b4474f9563e655fffbed501344e8a08710993479dff44f550e6729c6dafde4b4,false,COMPLETE
1221603576,301039,中集车辆,2024-11-01,2024-11-07,2024-11-08,2024-11-08,0.27999999999999997,2024年中期A股权益分派实施公告,pdf/1221603576.pdf,26caea04f60766ec975fa6b89be2246773229a7b0e4d02266d9e2ffcead538d4,false,COMPLETE
1221603734,002852,道道全,2024-11-02,2024-11-08,2024-11-11,2024-11-11,0.09,2024年前三季度权益分派实施公告,pdf/1221603734.pdf,e245d49e3949d4d7f5d370d74fecafc3c6f524d21603900190731a391dd04b75,false,COMPLETE
