period,captured_announcements,cash_dividend_count,excluded_non_cash_or_correction_count,sh_sz_ordinary_cash_count,sh_sz_ordinary_complete_count,sh_sz_parse_complete,override_count,raw_records_sha256,normalized_sha256
2022-01,3,3,0,2,2,true,0,cfa931ba9e0af3f179a98fe9f76bea779ff7d4e199dda5709d479bf87ae00d4d,81f4e611a8bd59918494bad171aaf1721f044e2ff917fa39db305347adbeafa6
2022-02,0,0,0,0,0,false,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,035395e72b3d62e1b053246c0ec28d2d16853909d79235322fd6960a8ff7491b
2022-03,24,24,0,24,24,true,1,6b382a6f89cb80c110d216c8b1a8ab087b5fb1a105c370ab9b8e049c8eadbce0,a27b814215e7183c61c7b4ded8a2698a9a3b9040d28201ad53a21e2f870f709c
2022-04,203,201,2,193,193,true,1,00bb4123b9c5cce35bd9c7c404b0db4d46143dd25e34a02148be6f5cde13f5c5,5067d1822a48ef2d899ce19c14dd0663fa8ad2f6071f711aa8bb7a416e953879
2022-05,1055,1042,13,1000,1000,true,1,4a41e80dced45ed1093430d57ed2c8d540603118542028b76c8c33a9091334dc,1bbb3dad0140d2bfe98104f09abe630a0d3074c1cf57e65c313228b9ded33596
2022-06,1177,1165,12,1138,1138,true,0,2324cd07838e6f83e1d7f6c6e01151873e7336979bd6842bb05eb1047c450919,af2b403d918f6902b75a78155b76c135ae1009b6dac2eeb261231d93dbb5db16
2022-07,496,493,3,489,489,true,0,f8b99176fe4b225ec6c9bf1798bda92d710acb6bac6e408d9b1ae68c68e9cd69,31f832547d60cae20c13e8cbf46734569228b150aa6758abe61866deb53679d3
2022-08,115,115,0,115,115,true,0,2990fcee7a1d4dbfe8eb2d27ef35a7f99f38f8e5ef8337092cbe9108d78f8c1e,8cdf5c24386d0641c86a54d6494f421d101c6daa4b38919fb4c3b64e0da7b271
2022-09,66,58,8,48,48,true,0,b7f01d16754d08a604f0387de736a3f823f0325c0675262daad0bb762bc1edc4,5884cc0803ff31dce1e99a052158a9e9ed6f66c7a3331865d1be55ae5c41358d
2022-10,20,18,2,17,17,true,0,97d43a122d4099b92477c1227e4ab1883b00a3b430b08242723b7cf852e07b35,bb4c6b979ab17445ca268dbd0d680e5387f9b3f940a7464e3f9d96d2c2c5bb0c
2022-11,27,24,3,19,19,true,0,db17b24c8084383735654e4759bab0bb0b1fd1959a7f84f0093465fd189efa8f,0595a32f5f33213faf4d0bbe974f54e0b4c806daac938bfb1a752f751afb162f
2022-12,13,13,0,12,12,true,0,90b8c67638ec9c04c97f68b1e4eebe415c97d46b34b5c2806c58cb560cfcfe0a,f9e9fe059946a2e041835fdca0e546ae63174bbee70e27d1c0e95efa8197d56a
