security_code,cash_per_share_2022,cash_per_share_2023,cash_per_share_2024,coverage_2022,coverage_2023,coverage_2024,strict_dividend_growth,cash_coverage_pass,eligible
000001,0.285,0.7190000000000001,0.608,24.33187913721159,6.626672374814575,5.368004315421414,False,True,False
000009,0.0349999999999999,0.045,0.03,3.217770447583418,51.36509169029376,21.484885067558427,False,True,False
000012,0.15,0.25,0.0699999999999999,4.249038246759875,3.595005683192711,8.173697784357058,False,True,False
000019,0.25,0.2,0.15,1.8459782979966008,2.541426191332799,-0.08860246329031887,False,False,False
000021,0.13,0.13,0.19,4.41498044817995,9.869224894204992,8.189904091634867,False,True,False
000025,0.028,0.031,0.1,-4.305662356280965,-4.500551592153695,9.054199762343064,True,False,False
000026,0.25,0.4,0.4,4.561272923584905,3.895400709602362,3.3069157874444,False,True,False
000027,0.1399999999999999,0.1399999999999999,0.15,14.45079766302139,17.911902796887706,13.46929511808382,False,True,False
000028,0.8,0.6799999999999999,0.366,7.475675192288685,7.760676632904702,16.060005090882346,False,True,False
000030,0.25,0.25,0.15,0.647339198134272,0.10164424043287834,1.8214102569324515,False,False,False
000034,0.446,0.446,0.267,2.802430685586411,-0.5069563831668744,13.188409813469399,False,False,False
000039,0.18,0.022,0.176,15.059404257485149,22.785651631633268,9.760857862756136,False,True,False
000045,0.06,0.065,0.071,16.130878709636868,5.611930133525805,6.43061466881268,True,True,True
000049,0.65,0.45,0.3299999999999999,2.0088962169005877,16.76425151244871,2.880272646822067,False,True,False
000055,0.05,0.08,0.05,4.119879716602976,3.4890282602899267,5.045173570964191,False,True,False
000058,0.01,0.03,0.0125,18.07043744774694,9.812881386244078,15.56013726087375,False,True,False
000059,0.132,0.014,0.018,8.308887967163328,43.32947551212964,15.965874996260931,False,True,False
000060,0.0999999,0.056,0.087,2.891723200541172,7.50401198209699,2.446682748781949,False,True,False
000061,0.04,0.11,0.0699999999999999,12.614422418808333,5.393829508275403,4.417742069865494,False,True,False
000062,0.3,0.2,0.18,7.253100553650737,-0.35654865475039715,7.66054351926781,False,False,False
000063,0.4,0.683,0.617,3.9969937551708443,5.327795468692737,3.8895725517384547,False,True,False
000065,0.06349,0.092,0.149,11.603959860827537,7.613784741652374,4.092725927144943,True,True,True
