arm,signals,complete,mean_return_20d,median_return_20d,win_rate,holdout_2025_count,holdout_2025_mean_return_20d,holdout_2025_win_rate,verdict,trade_authorized
unreported_peer_stock,190,187,0.0015084362245098757,0.006180557989006447,0.5454545454545454,13,-0.01375206637621734,0.5384615384615384,NO-GO,false
direct_industry_etf,190,83,-0.0010974483117361061,-0.0005219421369234783,0.4819277108433735,11,-0.021578861103236088,0.36363636363636365,NO-GO,false
