announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,status
1223695635,002241,歌尔股份,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.15,2024年年度权益分派实施公告,pdf/1223695635.pdf,ac562c44ebc86cf40f18f1c253462524c9ef391776ae9423fac68b6d63f330f6,COMPLETE
1223695725,300854,中兰环保,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.12,2024年年度权益分派实施公告,pdf/1223695725.pdf,1b5fca69150056e2d5ab452f7ac34ea7b18b0039dccce8f8a39cd450f4a8841f,COMPLETE
1223695869,000963,华东医药,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.58,2024年年度权益分派实施公告,pdf/1223695869.pdf,6b3915d7099cbb88873eff4a8c91d07644ef415208bfa6a3ff805b1333e9c264,COMPLETE
1223695872,001331,胜通能源,2025-05-28,2025-06-04,2025-06-05,,,2024年年度权益分派实施公告,pdf/1223695872.pdf,57511a8b507ddca8c489c1fde55bc4618c67e2f0c91b27fdc53c88512bf585df,NO_CASH_DIVIDEND
1223695905,603269,海鸥股份,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.3,江苏海鸥冷却塔股份有限公司2024年年度权益分派实施公告,pdf/1223695905.pdf,05d64c29e5b08da920c74b42c22052b5528804211b7a5d77a7b8be251e29cba2,COMPLETE
1223695906,603353,和顺石油,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.1,和顺石油2024年年度权益分派实施公告,pdf/1223695906.pdf,0d4dea24147b28e2883b869448385f70b139701781a24c7bbac0ef24f7098d17,COMPLETE
1223695966,300432,富临精工,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.1,关于2024年年度权益分派实施公告,pdf/1223695966.pdf,2e323b859236c14e71bae6b8fd7b3c1726543e9aba37667193a1035beb42c4ad,COMPLETE
1223695999,603066,音飞储存,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.052,音飞储存2024年年度权益分派实施公告,pdf/1223695999.pdf,04494a729fe5d506b94f96fc282bc025df1283d872aa77be89841db3fe90b696,COMPLETE
1223696145,600449,宁夏建材,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.21,宁夏建材2024年年度权益分派实施公告,pdf/1223696145.pdf,f8148afb3f998c74739f95636c715887bf550fd8044dec00a7c75a03b78a9bb5,COMPLETE
1223696153,688113,联测科技,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.181,江苏联测机电科技股份有限公司2024年年度权益分派实施公告,pdf/1223696153.pdf,ab6423f0ebfdc727d464cb6245c79bf06f5332df78066c175303d7a274c2cf9e,COMPLETE
1223696213,300351,永贵电器,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.06,2024年年度权益分派实施公告,pdf/1223696213.pdf,a73057b29f246f8e865f87e553f237a7438184657dd0281400c7e42671ce82e6,COMPLETE
1223696296,603390,通达电气,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.04,广州通达汽车电气股份有限公司权益分派实施公告,pdf/1223696296.pdf,d5f9ca5fae82bcc55825b607e0ae981dc285ee7302d238fee8a7805c11af2e08,COMPLETE
1223696325,002935,天奥电子,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.05,2024年年度权益分派实施公告,pdf/1223696325.pdf,18ebd739c0ac0ca101e1fdd49311e55698c77120c743de4b98a3d7511bbe8a8e,COMPLETE
1223696369,002587,奥拓电子,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.02,2024年年度权益分派实施公告,pdf/1223696369.pdf,5a9e6108a7610573a83177f3906d8f6e96baf9c01842b56d20f784f3a37b7a4b,COMPLETE
1223696386,002010,传化智联,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.1,2024年年度权益分派实施公告,pdf/1223696386.pdf,8b875101a06d53acaa0097456d9d954dc1a002b75dfc9698a9b61c9f6b16d1c0,COMPLETE
1223696408,300601,康泰生物,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.09,2024年年度权益分派实施公告,pdf/1223696408.pdf,15c4d29124e4d20c90196496ac26aeb5349157dda6e6835a12690d016c5de1da,COMPLETE
1223696412,301488,豪恩汽电,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.5,2024年年度权益分派实施公告,pdf/1223696412.pdf,489c8417a04fb9a7860377f5945d78e5ff10f79acd533942784977705b877be4,COMPLETE
1223696467,603070,万控智造,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.08,万控智造：2024年年度权益分派实施公告,pdf/1223696467.pdf,2b0aacac2d7187958658b2937a65b88102f68db397c34a2ff034a82e836dc083,COMPLETE
1223696471,603530,神马电力,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.46,2024年年度权益分派实施公告,pdf/1223696471.pdf,d2e4b422416823b42b16744156f573cacb91fb0f194529fa591b2502bc5da93b,COMPLETE
1223696473,688105,诺唯赞,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.15,诺唯赞2024年年度权益分派实施公告,pdf/1223696473.pdf,c86b18feb1320e49b6defa7c086312efd5fb5f5fa65ef08a2a190b3881cfa514,COMPLETE
1223696488,001308,康冠科技,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.18,2024年度权益分派实施公告,pdf/1223696488.pdf,410215eafdfbe7cddc8603843cc6561979b9cabc33d67fb3455e420f1208141a,COMPLETE
1223696536,002966,苏州银行,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.2,2024年年度权益分派实施公告,pdf/1223696536.pdf,1979ff05e94a53ce5ab1ac4a914d2881059230b622f1d0e95c00c4528e39f78a,COMPLETE
1223696557,603685,晨丰科技,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.008,晨丰科技2024年年度权益分派实施公告,pdf/1223696557.pdf,02ce8ee3bdeadfc56b92edfbc697e0ce8bdba584a9ea106b1ddac7f6b294ce03,COMPLETE
1223696689,002978,安宁股份,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.5,2024年度权益分派实施公告,pdf/1223696689.pdf,220f149f8c4a61531aa930a8365a39850ff207a96f796eeb1a844bf632c645cc,COMPLETE
1223696744,002961,瑞达期货,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.2,2024年度权益分派实施公告,pdf/1223696744.pdf,657f9f2e73bb4e9f540e445847aaffc84c1ecbe622644916cd3a4ce776a83ab0,COMPLETE
1223696756,603013,亚普股份,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.35,亚普汽车部件股份有限公司2024年年度权益分派实施公告,pdf/1223696756.pdf,ea7025af7a51ffe3d4c3ff5188009d0a090d893c28385b15fc7f35a2738a9d88,COMPLETE
