open_time_utc,open,high,low,close,close_time_utc,volume
2026-08-24T00:00:00.000Z,21.22809146,21.28074232,20.48615962,21.13475433,2026-08-24T00:59:59.999Z,0.0
2026-08-24T01:00:00.000Z,21.12819531,21.13441645,20.27998289,20.28627293,2026-08-24T01:59:59.999Z,0.0
2026-08-24T02:00:00.000Z,20.28570725,20.63466533,20.08028553,20.32880049,2026-08-24T02:59:59.999Z,0.0
2026-08-24T03:00:00.000Z,20.33020176,20.33594296,19.55327143,19.62923141,2026-08-24T03:59:59.999Z,0.0
2026-08-24T04:00:00.000Z,19.63018043,20.0913454,19.5488085,19.98183943,2026-08-24T04:59:59.999Z,0.0
2026-08-24T05:00:00.000Z,19.9590557,20.29905018,19.75883712,19.91469377,2026-08-24T05:59:59.999Z,0.0
2026-08-24T06:00:00.000Z,19.91335261,20.11339022,19.7768202,19.97258192,2026-08-24T06:59:59.999Z,0.0
2026-08-24T07:00:00.000Z,19.96950509,20.06649785,19.82340979,19.83083859,2026-08-24T07:59:59.999Z,0.0
2026-08-24T08:00:00.000Z,19.82752983,19.97550007,19.58840032,19.91806914,2026-08-24T08:59:59.999Z,0.0
2026-08-24T09:00:00.000Z,19.91831009,20.03101287,19.83263015,20.00456736,2026-08-24T09:59:59.999Z,0.0
2026-08-24T10:00:00.000Z,20.00461351,20.07830356,19.70507823,19.70605872,2026-08-24T10:59:59.999Z,0.0
